from;to;relation;year
FB;FC;Gegner;
FC;B26J;Anfuehrer;
FB;CP;Gegner;
ECG;HG;Liebesbeziehung;1954
HG;NL;Bekanntschaft;
ECG;NL;Bekanntschaft;
JRCV;ECG;Bekanntschaft;
FC;ECG;Bekanntschaft;
ECG;B26J;Unterstuetzer;
AB;B26J;Unterstuetzer;
CP;B26J;Unterstuetzer;
FC;CP;Unterstuetzer;
FB;KR;Anfuehrer;
CP;KR;Gegner;
FC;GDC;Anfuehrer;
ECG;GUA;Aufenthalt;
HG;GUA;Aufenthalt;
JA;GUA;Anfuehrer;
ECG;MEX;Aufenthalt;
JRCV;MEX;Aufenthalt;
GUAK;HG;Unterstuetzer;
GUAK;NL;Unterstuetzer;
GUAK;JRCV;Unterstuetzer;
GUAK;GUA;Aufenthalt;
HL;B26J;Unterstuetzer;1956
HL;ECG;Bekanntschaft;1956
HL;KUB;Aufenthalt;1956
AL;KUB;Aufenthalt;1956
FC;KUB;Aufenthalt;1956
ECG;KUB;Aufenthalt;1956
FP;B26J;Unterstuetzer;1956
FP;KUB;Aufenthalt;1956
AR;B26J;Unterstuetzer;1956
AR;KUB;Aufenthalt;1956
FP;ECG;Bekanntschaft;1956
AR;ECG;Bekanntschaft;1956
CC;B26J;Unterstuetzer;1956
CC;KUB;Aufenthalt;1956
CC;ECG;Bekanntschaft;1956
RS;B26J;Unterstuetzer;1956
RS;KUB;Aufenthalt;1956
RS;ECG;Bekanntschaft;1956
RS;FP;Bekanntschaft;1956
AL;B26J;Unterstuetzer;1956
AL;ECG;Bekanntschaft;1956
RV;B26J;Unterstuetzer;1956
RV;KUB;Aufenthalt;1956
RV;ECG;Bekanntschaft;1956
CH;B26J;Unterstuetzer;1956
CH;KUB;Aufenthalt;1956
CH;ECG;Bekanntschaft;1956
BE;B26J;Unterstuetzer;1956
BE;KUB;Aufenthalt;1956
BE;ECG;Bekanntschaft;1956
ME;EG;Unterstuetzer;1956
EU;B26J;Unterstuetzer;1956
ME;KUB;Aufenthalt;1956
EG;KUB;Aufenthalt;1956
ES;KR;Unterstuetzer;1956
CO;KR;Unterstuetzer;1956
C;B26J;Unterstuetzer;1956
ES;KUB;Aufenthalt;1956
CO;KUB;Aufenthalt;1956
C;KUB;Aufenthalt;1956
JD;KUB;Aufenthalt;1956
CM;KUB;Aufenthalt;1956
PF;KUB;Aufenthalt;1956
JD;B26J;Unterstuetzer;1956
CM;B26J;Unterstuetzer;1956
PF;B26J;Unterstuetzer;1956
RC;KUB;Aufenthalt;1956
RC;B26J;Unterstuetzer;1956
LC;KUB;Aufenthalt;1956
LC;B26J;Unterstuetzer;1956
US;KUB;Aufenthalt;1956
US;B26J;Unterstuetzer;1956
CR;EG;Unterstuetzer;1956
EA;B26J;Unterstuetzer;1956
EA;KUB;Aufenthalt;1956
SM;KR;Unterstuetzer;1956
SM;KUB;Aufenthalt;1956
MF;B26J;Unterstuetzer;1956
MF;KUB;Aufenthalt;1956
MF;ECG;Bekanntschaft;1956
M;B26J;Unterstuetzer;1956
M;KUB;Aufenthalt;1956
M;FC;Bekanntschaft;1956
GG;B26J;Unterstuetzer;1956
GG;KUB;Aufenthalt;1956
GG;ECG;Bekanntschaft;1956
SA;B26J;Unterstuetzer;1956
SA;KUB;Aufenthalt;1956
SA;ECG;Bekanntschaft;1956
GG;SA;Bekanntschaft;1956
CR;KR;Unterstuetzer;1956
CR;KUB;Aufenthalt;1956
CG;B26J;Unterstuetzer;1956
CG;KUB;Aufenthalt;1956
MA;B26J;Unterstuetzer;1956
MA;KUB;Aufenthalt;1956
CA;KUB;Aufenthalt;1956
CA;EG;Bekanntschaft;1956
EG;KR;Unterstützer;1956
CA;KR;Unterstützer;1956
CR;ECG;Bekanntschaft;1956
CR;ECG;Unterstützer;1956
JZA;ECG;Bekanntschaft;1956
JZA;B26J;Unterstützer;1956
JZA;CR;Bekanntschaft;1956
M;ECG;Bekanntschaft;1956
IP;B26J;Unterstützer;1956
C;IP;Familie;Bis zum Tod IPS - wann?
C;B26J;Unterstützer;1956
C;ECG;Bekanntschaft;1956
CF;B26J;Unterstützer;1956
CF;ECG;Bekanntschaft;1956
EG;FC;Bekanntschaft;1956
EG;B26J;Unterstützer;1956
EG;ECG;Bekanntschaft;1956
EG;KR;Unterstützer;1957
CF;LC;Bekanntschaft;1957
ECG;KUB;Aufenthalt;1957
FC;KUB;Aufenthalt;1957
EG;KUB;Aufenthalt;1957
CF;KUB;Aufenthalt;1957
LC;KUB;Aufenthalt;1957
EL;KUB;Aufenthalt;1957
EL;B26J;Unterstützung;1957
CiR;KUB;Aufenthalt;1957
CiR;B26J;Unterstützung;1957
JZA;ECG;Bekanntschaft;1957
JZA;B26J;Unterstützer;1957
JZA;KUB;Aufenthalt;1956
JZA;KUB;Aufenthalt;1957
AL;ECG;Bekanntschaft;1957
